City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Windspeed,Country,Date
136,kone,-21.0595,164.8658,64.33,59,5,4.52,NC,1690405614
137,itoman,26.1247,127.6694,81.37,96,100,14.97,JP,1690405706
138,saynshand,44.8824,110.1163,72.21,42,0,7.25,MN,1690405415
139,carnarvon,-24.8667,113.6333,60.1,59,23,14.72,AU,1690405485
140,broken hill,-31.95,141.4333,50.76,59,0,12.24,AU,1690405707
141,atafu village,-8.5421,-172.5159,82.89,74,27,18.9,TK,1690405707
142,sinabang,2.4803,96.3801,79.59,84,100,1.97,ID,1690405708
143,ilulissat,69.2167,-51.1,59.02,41,0,10.36,GL,1690405708
144,olonkinbyen,70.9221,-8.7187,40.62,90,100,12.77,SJ,1690405708
145,puerto ayora,-0.7393,-90.3518,84.16,90,90,8.01,EC,1690405709
146,mammoth lakes,37.6485,-118.9721,81.32,22,40,10.36,US,1690405709
147,khanty-mansiysk,61.0042,69.0019,60.91,100,0,7.0,RU,1690405709
148,bardai,11.65,7.2333,80.28,64,99,8.75,NG,1690405710
149,shwebo,22.5667,95.7,81.97,71,46,12.15,MM,1690405710
150,lagunas,-5.2269,-75.6753,88.81,51,72,1.86,PE,1690405711
151,badger,64.8,-147.5333,79.12,62,75,1.01,US,1690405711
152,toliara,-23.35,43.6667,65.91,57,0,16.37,MG,1690405420
153,vorgashor,67.5833,63.95,57.2,92,100,5.59,RU,1690405712
154,rikaze,29.25,88.8833,53.06,81,100,6.53,CN,1690405526
155,st ives,50.2086,-5.4875,61.12,95,100,25.05,GB,1690405712
156,chilon,17.2333,-92.4167,86.41,43,92,5.91,MX,1690405713
157,marsa alam,25.0757,34.8918,92.23,47,100,4.85,EG,1690405696
158,malakal,9.5334,31.6605,71.51,98,100,2.39,SS,1690405716
159,altai,46.3722,96.2583,58.86,30,93,2.55,MN,1690405716
160,correia pinto,-27.5847,-50.3611,59.54,89,70,2.17,BR,1690405717
161,hudiksvall,61.729,17.1036,55.8,94,39,4.12,SE,1690405717
162,obudu,6.6674,9.1716,76.37,88,93,4.23,NG,1690405717
163,uturoa,-16.7333,-151.4333,77.97,85,41,8.95,PF,1690405717
164,hawaiian paradise park,19.5933,-154.9731,82.72,84,75,1.01,US,1690405442
165,baharly,38.4362,57.4316,88.02,51,64,8.99,TM,1690405718
166,codrington,-38.2667,141.9667,44.73,81,5,12.66,AU,1690405462
167,suntar,62.1444,117.6319,59.83,75,96,6.08,RU,1690405718
168,victorica,-36.2151,-65.4359,53.96,38,76,5.44,AR,1690405719
169,karratha,-20.7377,116.8463,65.98,75,32,6.96,AU,1690405719
170,ismayilli,40.779,48.1638,70.52,80,56,2.64,AZ,1690405719
171,colesberg,-30.72,25.0972,55.36,61,98,15.43,ZA,1690405719
172,kyaikkami,16.08,97.5675,79.84,83,78,3.47,MM,1690405720
173,la ronge,55.1001,-105.2842,57.45,88,100,10.36,CA,1690405479
174,yuzhno-kurilsk,44.0306,145.8556,66.54,95,79,3.51,RU,1690405720
175,lazaro cardenas,17.9583,-102.2,88.57,57,35,10.33,MX,1690405624
176,saipan,15.1355,145.701,80.65,100,100,18.99,MP,1690405509
177,california city,35.1258,-117.9859,106.86,10,0,14.97,US,1690405509
178,taroa,8.7058,171.2275,82.38,78,100,14.94,MH,1690405721
179,sturgis,41.7992,-85.4192,78.28,83,75,0.0,US,1690405722
180,mossel bay,-34.1831,22.146,53.53,80,36,6.85,ZA,1690405666
181,saint-pierre,-21.3393,55.4781,67.68,88,75,6.91,RE,1690405723
182,inarajan village,13.2736,144.7484,79.77,96,100,22.44,GU,1690405723
183,zyryanskoye,56.8306,86.6258,57.79,87,6,5.77,RU,1690405724
184,petrolina,-9.3986,-40.5008,86.05,35,20,5.75,BR,1690405622
185,hasaki,35.7333,140.8333,80.31,87,14,7.74,JP,1690405724
186,solwezi,-12.1688,26.3894,58.37,45,21,3.22,ZM,1690405725
187,carbonear,47.7332,-53.2148,79.75,59,86,12.15,CA,1690405725
188,kyshtovka,56.555,76.6271,64.4,67,100,0.63,RU,1690405725
189,alofi,-19.0595,-169.9187,73.29,73,75,2.3,NU,1690405726
190,severo-yeniseyskiy,60.3725,93.0408,58.14,97,100,2.91,RU,1690405726
191,san-pedro,4.7485,-6.6363,75.88,94,50,5.64,CI,1690405726
192,aguadas,5.6116,-75.4562,64.81,87,95,1.16,CO,1690405731
193,vrutok,41.7686,20.8392,63.39,79,97,6.53,MK,1690405732
194,praia da vitoria,38.7333,-27.0667,74.75,83,1,6.02,PT,1690405732
195,pundong,-7.9522,110.3486,69.37,94,57,2.84,ID,1690405732
196,caleta de carquin,-11.0925,-77.6267,69.85,74,14,11.25,PE,1690405732
197,zaozersk,69.4005,32.4476,51.04,95,100,2.24,RU,1690405733
198,coquimbo,-29.9533,-71.3436,58.73,82,40,5.75,CL,1690405433
199,sultanah,24.4926,39.5857,99.05,9,0,11.5,SA,1690405733
200,collie,-33.3667,116.15,49.48,88,95,7.76,AU,1690405733
201,aulnoye-aymeries,50.2014,3.8384,64.22,67,100,7.58,FR,1690405734
202,doka,13.5167,35.7667,74.5,86,76,9.17,SD,1690405734
203,norilsk,69.3535,88.2027,68.86,69,11,3.76,RU,1690405734
204,tshela,-4.9833,12.9333,69.06,87,11,2.17,CD,1690405734
205,constantia,44.1833,28.65,77.68,82,15,4.65,RO,1690405730
206,saldanha,-33.0117,17.9442,53.83,90,93,7.61,ZA,1690405735
207,ulsteinvik,62.3432,5.8487,60.31,92,80,5.01,NO,1690405735
208,gadzhiyevo,69.2551,33.3362,50.22,97,100,4.0,RU,1690405735
209,sayan,-11.1361,-77.1933,75.72,50,2,8.1,PE,1690405736
210,nemuro,43.3236,145.575,61.41,98,69,1.34,JP,1690405736
211,howard springs,-12.497,131.047,66.11,34,81,5.08,AU,1690405736
212,brokopondo,4.75,-55.1667,82.92,76,40,8.3,SR,1690405736
213,tazovsky,67.4667,78.7,58.71,88,15,7.74,RU,1690405618
214,alaghsas,17.0187,8.0168,91.99,35,53,8.01,NE,1690405737
215,tazacorte,28.629,-17.9293,74.37,89,20,12.66,ES,1690405572
216,naze,28.3667,129.4833,78.13,85,100,13.58,JP,1690405737
217,alice springs,-23.7,133.8833,54.95,67,100,4.61,AU,1690405738
218,mar del plata,-38.0023,-57.5575,52.09,83,75,18.01,AR,1690405738
219,oum hadjer,13.2954,19.6966,82.4,57,32,9.37,TD,1690405738
220,gannan,47.9147,123.5031,69.46,96,91,1.36,CN,1690405738
221,san antonio de pale,-1.4014,5.6325,73.26,90,89,9.17,GQ,1690405527
222,antalaha,-14.9003,50.2788,67.86,87,47,7.76,MG,1690405739
223,kimbe,-5.5502,150.1429,78.84,83,85,7.94,PG,1690405739
224,vadso,70.0744,29.7487,50.16,93,100,3.44,NO,1690405739
225,qaryat suluq,31.6682,20.2521,91.54,21,0,10.36,LY,1690405740
226,kiunga,-6.1219,141.2906,70.02,98,97,1.72,PG,1690405740
227,mersing,2.4312,103.8405,78.19,92,96,6.4,MY,1690405740
228,colonia,50.9333,6.95,65.82,68,0,6.91,DE,1690405520
229,lebu,-37.6167,-73.65,50.47,79,100,6.35,CL,1690405741
230,okha,53.5739,142.9478,54.57,98,100,7.2,RU,1690405741
231,camacupa,-12.0167,17.4833,66.61,31,0,1.12,AO,1690405741
232,ghat,24.9647,10.1728,92.79,10,0,7.18,LY,1690405742
233,nikolayevsk-on-amure,53.1406,140.73,65.97,94,85,2.93,RU,1690405742
234,jamestown,42.097,-79.2353,87.39,51,0,9.22,US,1690405729
235,nuku'alofa,-21.1333,-175.2,71.94,64,40,6.91,TO,1690405743
236,enshi,30.3,109.4833,72.18,98,100,1.59,CN,1690405743
237,morehead city,34.7229,-76.726,91.42,77,20,10.36,US,1690405743
238,gandorhun,7.5,-11.8333,73.71,98,96,2.64,SL,1690405744
239,atlantic,39.4668,-74.6663,89.37,50,0,8.05,US,1690405744
240,concepcion,-36.827,-73.0498,55.2,71,0,8.05,CL,1690405745
241,salta,-24.7859,-65.4117,61.57,52,26,8.01,AR,1690405740
242,les cayes,18.2,-73.75,86.38,64,100,7.2,HT,1690405746
243,loreto,22.2667,-101.9667,73.81,36,100,11.25,MX,1690405747
244,fuyu,45.1833,124.8167,74.19,88,96,12.62,CN,1690405748
245,weno,7.4515,151.8468,82.0,76,65,5.77,FM,1690405749
246,surskoye,54.4821,46.7214,64.8,86,75,7.47,RU,1690405750
247,anadyr,64.75,177.4833,52.3,87,100,11.01,RU,1690405750
248,st. paul,44.9444,-93.0933,94.51,54,0,8.05,US,1690405485
249,medvedovskaya,45.4531,39.0258,74.16,52,0,7.02,RU,1690405751
250,ligaya,12.6599,120.8923,80.24,87,99,13.47,PH,1690405751
251,linghai,41.1653,121.3667,75.81,92,36,10.89,CN,1690405751
252,aldan,58.6031,125.3894,61.84,82,34,2.91,RU,1690405752
253,heihe,50.2441,127.4902,63.18,82,83,1.05,CN,1690405752
254,seven pagodas,12.6264,80.1722,82.45,70,97,17.43,IN,1690405752
255,magadan,59.5667,150.8,60.53,96,100,4.47,RU,1690405753
256,inhambane,-23.865,35.3833,66.94,64,43,6.76,MZ,1690405753
257,vershino-darasunskiy,52.35,115.5167,51.8,96,25,1.32,RU,1690405753
258,santa marta,11.2408,-74.199,86.9,74,75,13.8,CO,1690405754
259,villazon,-22.0866,-65.5942,57.4,7,0,8.46,BO,1690405754
260,yadgir,16.7667,77.1333,72.55,96,100,20.6,IN,1690405754
261,tsiombe,-25.3,45.4833,64.6,57,0,12.19,MG,1690405642
262,fortaleza,-3.7227,-38.5247,80.73,78,20,11.5,BR,1690405466
263,san matias,-16.3667,-58.4,92.3,24,40,2.37,BO,1690405755
264,tionk essil,12.7856,-16.5217,80.26,84,76,5.66,SN,1690405755
265,tofol,5.3248,163.0078,82.9,75,100,7.52,FM,1690405756
266,usinsk,65.9939,57.5281,57.92,93,87,6.73,RU,1690405726
267,jalgaon jamod,21.0486,76.5344,77.29,90,100,11.97,IN,1690405582
268,dudinka,69.4058,86.1778,61.88,76,7,4.88,RU,1690405756
269,tolanaro,-25.0319,46.9987,66.25,63,87,8.39,MG,1690405757
270,iskateley,67.6803,53.1512,60.6,73,63,3.49,RU,1690405757
271,malango,-2.9627,119.9001,63.66,98,55,2.26,ID,1690405757
272,shahpur,16.7,76.8333,72.37,93,100,21.97,IN,1690405758
273,palangkaraya,-2.2,113.8333,70.3,99,70,2.53,ID,1690405758
274,udachny,66.4167,112.4,61.45,72,100,3.85,RU,1690405532
275,kamina,-8.7386,24.9906,64.44,34,1,3.65,CD,1690405759
276,bembereke,10.2283,2.6634,75.52,82,41,5.1,BJ,1690405759
277,ciudad lazaro cardenas,17.9583,-102.2,88.57,57,35,10.33,MX,1690405624
278,pechora,65.1472,57.2244,62.15,77,100,3.58,RU,1690405759
279,dzilam gonzalez,21.2833,-88.9333,90.88,55,92,14.9,MX,1690405760
280,porto novo,6.4965,2.6036,76.69,90,24,6.93,BJ,1690405760
281,beau vallon,-20.4189,57.6953,68.22,94,20,3.44,MU,1690405760
282,nabire,-3.3667,135.4833,75.13,91,92,4.0,ID,1690405760
283,gewane,10.1664,40.6453,88.93,40,32,14.83,ET,1690405761
284,kingscliff,-28.2667,153.5667,58.8,77,100,6.91,AU,1690405761
285,martapura,-3.4167,114.85,69.89,100,56,1.14,ID,1690405762
286,kangding,30.0513,101.9603,59.95,95,100,1.23,CN,1690405762
287,hithadhoo,-0.6,73.0833,83.14,78,53,15.97,MV,1690405503
288,pyhajarvi,67.0701,27.2176,53.78,93,100,1.92,FI,1690405763
289,yerofey pavlovich,53.9667,121.9667,60.48,94,55,2.89,RU,1690405763
290,mogocha,53.7333,119.7667,59.43,97,100,1.05,RU,1690405498
